stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,coordinate_status
SNCF:ST:87391102,Paris Montparnasse Vaugirard,48.841172,2.320514,1,0,outside_pdl_bbox
SNCF:ST:87391300,Morre,47.225992,6.067345,1,0,outside_pdl_bbox
SNCF:ST:87392829,Saint-Martin-d'Hères,45.193022,5.768919,1,0,outside_pdl_bbox
SNCF:ST:87393009,Versailles Chantiers,48.795828,2.135883,1,0,outside_pdl_bbox
SNCF:ST:87393314,Rambouillet,48.643771,1.83154,1,0,outside_pdl_bbox
SNCF:ST:87393348,Gazeran,48.62582,1.771828,1,0,outside_pdl_bbox
SNCF:ST:87393488,Dreux,48.731494,1.370164,1,0,outside_pdl_bbox
SNCF:ST:87393553,Nonancourt,48.775761,1.192837,1,0,outside_pdl_bbox
SNCF:ST:87393595,Verneuil-sur-Avre,48.742487,0.929193,1,0,outside_pdl_bbox
SNCF:ST:87393843,Saint-Quentin en Yvelines,48.786571,2.04523,1,0,outside_pdl_bbox
SNCF:ST:87394007,Chartres,48.448203,1.481313,1,0,outside_pdl_bbox
SNCF:ST:87394015,Lucé,48.436125,1.452958,1,0,outside_pdl_bbox
SNCF:ST:87394114,Épernon,48.605201,1.681363,1,0,outside_pdl_bbox
SNCF:ST:87394130,Maintenon,48.58548,1.59206,1,0,outside_pdl_bbox
SNCF:ST:87394148,Saint-Piat,48.542953,1.590489,1,0,outside_pdl_bbox
SNCF:ST:87394155,Jouy,48.510248,1.557462,1,0,outside_pdl_bbox
SNCF:ST:87394171,La Villette Saint-Prest,48.482753,1.522905,1,0,outside_pdl_bbox
SNCF:ST:87394205,Amilly - Ouerray,48.438295,1.389396,1,0,outside_pdl_bbox
SNCF:ST:87394213,Saint-Aubin - Saint-Luperce,48.447643,1.331839,1,0,outside_pdl_bbox
SNCF:ST:87394221,Courville-sur-Eure,48.451337,1.234902,1,0,outside_pdl_bbox
SNCF:ST:87394247,Pontgouin,48.477878,1.141444,1,0,outside_pdl_bbox
SNCF:ST:87394254,La Loupe,48.473829,1.010898,1,0,outside_pdl_bbox
SNCF:ST:87394270,Bretoncelles,48.432731,0.89236,1,0,outside_pdl_bbox
SNCF:ST:87394288,Condé-sur-Huisne,48.383367,0.848881,1,0,outside_pdl_bbox
SNCF:ST:87394296,Nogent-le-Rotrou,48.325766,0.810313,1,0,outside_pdl_bbox
SNCF:ST:87394403,La Taye,48.407758,1.373402,1,0,outside_pdl_bbox
SNCF:ST:87394411,Bailleau-le-pin,48.366929,1.325333,1,0,outside_pdl_bbox
SNCF:ST:87394429,Magny - Blandainville,48.334307,1.281173,1,0,outside_pdl_bbox
SNCF:ST:87394437,Illiers-Combray,48.304011,1.244921,1,0,outside_pdl_bbox
SNCF:ST:87394452,Brou,48.215516,1.160424,1,0,outside_pdl_bbox
SNCF:ST:87394486,Arrou,48.099885,1.128151,1,0,outside_pdl_bbox
SNCF:ST:87394494,Courtalain - Saint-Pellerin,48.0736,1.127004,1,0,outside_pdl_bbox
SNCF:ST:87395657,Brassac-les-Mines Lycée Rabelais,45.413636,3.321415,1,0,outside_pdl_bbox
SNCF:ST:87395665,Issoire Lycée Deville,45.539944,3.258024,1,0,outside_pdl_bbox
SNCF:ST:87395673,Issoire Lycée Murat,45.550411,3.249952,1,0,outside_pdl_bbox
SNCF:ST:87395830,Le Breuil-sur-Couze Lycée Agricole,45.462639,3.28117,1,0,outside_pdl_bbox
SNCF:ST:87395962,Sainte-Florine Lycée Claude Favard,45.401583,3.321073,1,0,outside_pdl_bbox
SNCF:ST:87396002,Le Mans,47.995616,0.192614,1,0,within_pdl_bbox
SNCF:ST:87396028,Neuville,48.070485,0.199601,1,0,within_pdl_bbox
SNCF:ST:87396036,La Guierche,48.113941,0.193108,1,0,within_pdl_bbox
SNCF:ST:87396044,Montbizot,48.15132,0.190817,1,0,within_pdl_bbox
SNCF:ST:87396051,Teillé,48.181339,0.191447,1,0,within_pdl_bbox
SNCF:ST:87396077,Vivoin - Beaumont,48.230195,0.144849,1,0,within_pdl_bbox
SNCF:ST:87396093,La Hutte Coulombiers,48.303257,0.105447,1,0,within_pdl_bbox
SNCF:ST:87396200,Domfront,48.107769,0.026256,1,0,within_pdl_bbox
SNCF:ST:87396218,Conlie,48.127222,-0.01162,1,0,within_pdl_bbox
SNCF:ST:87396234,Sillé-le-Guillaume,48.181796,-0.128891,1,0,within_pdl_bbox
